R,T,Time_Seq_ms,Time_DC_ms
10,144,0.04018000327050686,0.3742799861356616
50,288,0.18161998596042395,1.3794200029224157
100,1000,0.4676799988374114,102.26871999911964
200,2000,1.239939988590777,1589.67028001789
